Account Address,Token Name,Token Amount,Total PnL ($),Win Ratio,Sharpe Ratio,Sortino Ratio,Date Range
475KZhofb4udzLp8CkgdHGRLUDjQVJisXgoVsNvTWWYW,Fartcoin,70554.692695392,1043524.52366489,1.0,5.3192,7.9789,2025-07-19 to 2025-07-31
9YQRRnpujYj1HnhFYp9FSbmcZgiNEmZksE72X6rKQPb5,Fartcoin,68909.535150744,310581.5688137297,0.999,5.0301,7.5451,2025-07-04 to 2025-07-31
5RWWviHBARpSLc7BPjraQnmhmKKrmzZjRacR8vYff9Sc,Fartcoin,68742.364367076,26730.559466872874,1.0,68.8134,103.2201,2025-07-16 to 2025-07-22
JDijZqq9K2pG9zzid3Zw3cstjaaqW6UntyHskzRueTnc,Fartcoin,68354.84881737601,7140.817180237577,1.0,6.3927,9.5891,2025-07-03 to 2025-07-31
9j2PbKpzpcZyU4zww9qf7gPNR3LurK6dxYf8c2zc8RRC,Fartcoin,67364.02406733601,202736.6316180539,1.0,6.0161,9.0241,2025-07-11 to 2025-07-26
FpFNA3Q2yJkAVXZEvpjKrrkphQLuUm45TLxST1urA76D,Fartcoin,66739.642732512,87742.82083475128,1.0,6.4808,9.7212,2025-07-22 to 2025-07-31
DHkUfHRtgz8rr7E2CwvzLEwbM99MNMgwiDzWpdLDt134,Fartcoin,65122.651306224005,8830.369934195354,1.0,8.5494,12.8242,2025-07-02 to 2025-07-21
B8LactoanANDRbubcsGdsU4XXWwWYDQmucH5CMGkZ4Nj,Fartcoin,65071.188156264005,2288570.1918863254,1.0,7.1108,10.6662,2025-07-26 to 2025-07-31
G8MoYt4M6hMh1aeNSDrVQFsCXZtRJHf5a1ZqdbszajEv,Fartcoin,64434.158814636,16985.711160736344,1.0,5.8091,8.7137,2025-07-17 to 2025-07-31
7y7MFtM3i7P3Fg23jzLwztViWBoQQa4jqJRYJcUnHpga,Fartcoin,62596.30604994001,71179.77379357837,1.0,6.4823,9.7234,2025-07-10 to 2025-07-21
GzgjPybML5uU7Ws3EcWT7jJQELbFD5dWc53xJkviWfpJ,Fartcoin,60694.337384424005,811489.5017393292,1.0,5.6125,8.4187,2025-07-15 to 2025-07-30
BbA757mszWVnTFh9C8oKRF41Pc1wkSV9ZQe3wwGq3C3d,Fartcoin,60271.157932368005,15595.44907719106,1.0,15.8791,23.8187,2025-07-03 to 2025-07-31
Hbe6EPx9WZNBhwjCFRUydJH6avEPz5iBYNKTaotX3f7y,Fartcoin,58950.62661964801,244196.6566700114,1.0,7.7541,11.6312,2025-07-25 to 2025-07-31
3q5EtM9NsiNHnzq5pXBJYwNMhYtW9rN4aEeXGDC3M4jS,Fartcoin,57646.533939432,558669.8757852091,1.0,4.2428,6.3641,2025-07-02 to 2025-07-31
cRwUwP8vJ13UFg6f8oRWDyRC4o1rYMfDfTF9F1sRU3Q,Fartcoin,57151.117778352,95870.18709267293,0.998,3.8602,5.7904,2025-07-08 to 2025-07-31
HpFC5HoiFM7HYdLWbdZqqR6JZLHg9iMp7jZBEbS2hSQ8,Fartcoin,56739.534504756004,57141.22355055452,1.0,5.0338,7.5507,2025-07-20 to 2025-07-31
6cNy5tvPmRkFZ8WUtB5MA6ZaCzA2Us9e5XjgbTFzZW1J,Fartcoin,56319.933571464004,49819.32696520076,0.999,4.243,6.3644,2025-07-03 to 2025-07-30
H7vMdHgZFU7JbUCc3DFq3tt9fyAPqifJmdEAcy8RMztB,Fartcoin,54856.16571606001,13106.839901271163,1.0,6.1256,9.1883,2025-07-03 to 2025-07-21
DfwuGamAyDEsb4kHwchBn6bt23KQaBDpP7rJBni5JaAR,Fartcoin,53400.60213626401,7582.121252761607,1.0,6.5781,9.8672,2025-07-24 to 2025-07-31
FtwcP5yADckKP7hUbS3SjXsGsntAG1NbEXYV8ZxSHCF3,Fartcoin,53400.431273352,14337.51422079655,1.0,7.9389,11.9084,2025-07-03 to 2025-07-31
H2L6zF4wxfxWW35qXikGgiBC2hQ8vkDi4F8dDoHEMTq7,Fartcoin,53254.603222260004,191442.49075908237,1.0,7.9373,11.9059,2025-07-23 to 2025-07-31
EGVvpRtgL2CjtTXNfbFNhPAB9ZFKJdDGK4Eh6TitpWpu,Fartcoin,52495.891581516,44780.90872038007,0.999,4.1007,6.151,2025-07-02 to 2025-07-30
H2ikJvq8or5MyjvFowD7CDY6fG3Sc2yi4mxTnfovXy3K,Fartcoin,51050.736338832,34759.2178562266,1.0,5.0448,7.5672,2025-07-12 to 2025-07-30
FGXdtvWkkNbP1Es2KZkCAyCS11Lb3w5MWfNh3HiB3cAJ,Fartcoin,50752.238541072,133324.54893143088,1.0,5.6272,8.4407,2025-07-03 to 2025-07-26
